category,date,buyValue,sellValue,netValue
DII **,04-Mar-25,13542.14,8690.71,4851.43
FII/FPI *,04-Mar-25,12022.6,15428.42,-3405.82
DII **,05-Mar-25,15068.48,11697.88,3370.6
FII/FPI *,05-Mar-25,12045.86,14940.9,-2895.04
DII **,06-Mar-25,13276.13,11658.33,1617.8
FII/FPI *,06-Mar-25,9711.41,12088.73,-2377.32
DII **,07-Mar-25,10452.93,8132.57,2320.36
FII/FPI *,07-Mar-25,8635.45,10670.55,-2035.1
DII **,10-Mar-25,9591.29,9327.78,263.51
FII/FPI *,10-Mar-25,9924.83,10410.24,-485.41
DII **,10-Mar-2025,9591.29,9327.78,263.51
FII/FPI *,10-Mar-2025,9924.83,10410.24,-485.41
DII **,11-Mar-2025,10895.62,8893.83,2001.79
FII/FPI *,11-Mar-2025,8214.28,11038.04,-2823.76
DII **,12-Mar-2025,11803.42,10293.07,1510.35
FII/FPI *,12-Mar-2025,13088.94,14716.55,-1627.61
DII **,13-Mar-2025,10032.41,8308.59,1723.82
FII/FPI *,13-Mar-2025,11601.09,12393.99,-792.9
DII **,17-Mar-2025,12726.1,6725.5,6000.6
FII/FPI *,17-Mar-2025,11262.99,15751.44,-4488.45
DII **,18-Mar-2025,11686.27,9658.12,2028.15
FII/FPI *,18-Mar-2025,15450.39,13987.43,1462.96
DII **,19-Mar-2025,13300.08,11159.32,2140.76
FII/FPI *,19-Mar-2025,15718.73,16815.23,-1096.5
DII **,20-Mar-2025,11784.06,14920.08,-3136.02
FII/FPI *,20-Mar-2025,16328.06,13088.92,3239.14
DII **,21-Mar-2025,18878.93,22081.19,-3202.26
FII/FPI *,21-Mar-2025,49892.65,42422.29,7470.36
DII **,24-Mar-2025,12879.29,12780.75,98.54
FII/FPI *,24-Mar-2025,15777.73,12721.97,3055.76
DII **,25-Mar-2025,11692.98,14461.85,-2768.87
FII/FPI *,25-Mar-2025,19066.28,13694.71,5371.57
DII **,26-Mar-2025,12416.37,13112.74,-696.37
FII/FPI *,26-Mar-2025,14316.32,12075.77,2240.55
DII **,27-Mar-2025,39853.05,37335.35,2517.7
FII/FPI *,27-Mar-2025,31783.75,20672.5,11111.25
DII **,28-Mar-2025,16920.46,9273.97,7646.49
FII/FPI *,28-Mar-2025,11508.47,15861.29,-4352.82
DII **,01-Apr-2025,12699.83,8377.25,4322.58
FII/FPI *,01-Apr-2025,10480.2,16381.83,-5901.63
DII **,02-Apr-2025,11761.9,8953.07,2808.83
FII/FPI *,02-Apr-2025,12099.11,13637.99,-1538.88
DII **,03-Apr-2025,11567.21,11345.74,221.47
FII/FPI *,03-Apr-2025,9681.91,12487.91,-2806.0
DII **,04-Apr-2025,14454.32,16174.64,-1720.32
FII/FPI *,04-Apr-2025,13946.58,17430.56,-3483.98
DII **,07-Apr-2025,26528.23,14405.78,12122.45
FII/FPI *,07-Apr-2025,13372.27,22412.28,-9040.01
DII **,08-Apr-2025,14363.74,11266.5,3097.24
FII/FPI *,08-Apr-2025,13687.62,18681.86,-4994.24
DII **,09-Apr-2025,13990.17,11013.51,2976.66
FII/FPI *,09-Apr-2025,11959.16,16317.18,-4358.02
DII **,11-Apr-2025,14129.38,10370.11,3759.27
FII/FPI *,11-Apr-2025,18058.9,20577.93,-2519.03
DII **,15-Apr-2025,11259.51,13211.11,-1951.6
FII/FPI *,15-Apr-2025,25103.46,19037.68,6065.78
DII **,16-Apr-2025,11065.94,13578.71,-2512.77
FII/FPI *,16-Apr-2025,15286.9,11350.48,3936.42
DII **,17-Apr-2025,13773.79,15779.94,-2006.15
FII/FPI *,17-Apr-2025,18210.41,13542.47,4667.94
DII **,21-Apr-2025,15619.61,15373.02,246.59
FII/FPI *,21-Apr-2025,11711.72,9741.55,1970.17
DII **,22-Apr-2025,15154.16,16039.79,-885.63
FII/FPI *,22-Apr-2025,16702.52,15412.09,1290.43
DII **,23-Apr-2025,15150.83,16385.29,-1234.46
FII/FPI *,23-Apr-2025,17507.28,14174.35,3332.93
DII **,25-Apr-2025,16170.72,12630.87,3539.85
FII/FPI *,25-Apr-2025,15524.03,12571.7,2952.33
DII **,28-Apr-2025,14436.32,11618.68,2817.64
FII/FPI *,28-Apr-2025,11680.49,9206.39,2474.1
DII **,29-Apr-2025,13356.43,11987.24,1369.19
FII/FPI *,29-Apr-2025,15674.49,13288.88,2385.61
DII **,02-May-2025,13906.16,10615.67,3290.49
FII/FPI *,02-May-2025,18130.19,15360.38,2769.81
DII **,06-May-2025,10963.04,12360.72,-1397.68
FII/FPI *,06-May-2025,13471.35,9676.83,3794.52
DII **,08-May-2025,12682.67,13278.92,-596.25
FII/FPI *,08-May-2025,22365.53,20357.57,2007.96
DII **,09-May-2025,15547.15,8269.41,7277.74
FII/FPI *,09-May-2025,11482.61,15281.32,-3798.71
DII **,12-May-2025,14684.1,13235.73,1448.37
FII/FPI *,12-May-2025,12775.35,11528.87,1246.48
DII **,13-May-2025,16551.85,12278.05,4273.8
FII/FPI *,13-May-2025,17231.19,17708.05,-476.86
DII **,14-May-2025,13602.99,13286.68,316.31
FII/FPI *,14-May-2025,14861.07,13929.27,931.8
DII **,15-May-2025,14749.54,16418.01,-1668.47
FII/FPI *,15-May-2025,21412.0,16019.06,5392.94
DII **,16-May-2025,16971.9,11784.81,5187.09
FII/FPI *,16-May-2025,21379.92,12548.87,8831.05
DII **,19-May-2025,10988.35,11226.28,-237.93
FII/FPI *,19-May-2025,11817.04,12342.99,-525.95
DII **,21-May-2025,10555.99,9872.22,683.77
FII/FPI *,21-May-2025,13355.91,11154.12,2201.79
DII **,22-May-2025,13348.63,9633.63,3715.0
FII/FPI *,22-May-2025,11608.61,16653.97,-5045.36
DII **,23-May-2025,10011.1,9711.32,299.78
FII/FPI *,23-May-2025,11054.42,9259.83,1794.59
DII **,26-May-2025,10545.16,8799.44,1745.72
FII/FPI *,26-May-2025,9081.47,8945.49,135.98
DII **,28-May-2025,17643.97,9731.98,7911.99
FII/FPI *,28-May-2025,16278.5,11615.58,4662.92
DII **,30-May-2025,20673.18,11577.27,9095.91
FII/FPI *,30-May-2025,44434.53,50884.27,-6449.74
DII **,03-Jun-2025,15703.72,9795.75,5907.97
FII/FPI *,03-Jun-2025,17063.43,19917.26,-2853.83
DII **,04-Jun-2025,13045.17,10478.35,2566.82
FII/FPI *,04-Jun-2025,16575.56,15499.38,1076.18
DII **,05-Jun-2025,13190.92,10808.52,2382.4
FII/FPI *,05-Jun-2025,17878.55,18087.02,-208.47
DII **,06-Jun-2025,22522.51,13180.03,9342.48
FII/FPI *,06-Jun-2025,15208.43,14198.72,1009.71
DII **,09-Jun-2025,15306.03,11802.24,3503.79
FII/FPI *,09-Jun-2025,12778.34,10785.47,1992.87
DII **,10-Jun-2025,13787.98,12674.64,1113.34
FII/FPI *,10-Jun-2025,16548.24,14246.37,2301.87
DII **,11-Jun-2025,14764.75,13179.88,1584.87
FII/FPI *,11-Jun-2025,14530.87,14977.18,-446.31
