date,gold_24k_price,gold_22k_price
09-03-2025,8771.0,8040.0
11-03-2025,8749.0,8020.0
11/03/2025,8749.0,8020.0
13/03/2025,8858.0,8120.0
14/03/2025,8978.0,8230.0
16/03/2025,8967.0,8220.0
17/03/2025,8956.0,8210.0
18/03/2025,9000.0,8250.0
19/03/2025,9044.0,8290.0
20/03/2025,9066.0,8310.0
21/03/2025,9022.0,8270.0
22/03/2025,8978.0,8230.0
23/03/2025,8978.0,8230.0
24/03/2025,8962.0,8215.0
25/03/2025,8929.0,8185.0
26/03/2025,8940.0,8195.0
27/03/2025,8984.0,8235.0
28/03/2025,9098.0,8340.0
29/03/2025,9120.0,8360.0
31/03/2025,9191.0,8425.0
01/04/2025,9284.0,8510.0
02/04/2025,9284.0,8510.0
03/04/2025,8936.0,8510.0
04/04/2025,9164.0,8400.0
05/04/2025,9066.0,8310.0
07/04/2025,9038.0,8285.0
08/04/2025,8973.0,8225.0
09/04/2025,9044.0,8290.0
10/04/2025,9338.0,8560.0
12/04/2025,9541.0,8746.0
13/04/2025,9567.0,8770.0
14/04/2025,9551.0,8755.0
15/04/2025,9518.0,8720.0
16/04/2025,9617.0,8815.0
17/04/2025,9731.0,8920.0
18/04/2025,9758.0,8945.0
20/04/2025,6450.75,5915.25
21/04/2025,9835.0,9015.0
22/04/2025,10135.0,9290.0
24/04/2025,9824.0,9005.0
26/04/2025,9824.0,9005.0
27/04/2025,6450.75,5915.25
28/04/2025,9753.0,8940.0
29/04/2025,9797.0,8980.0
30/04/2025,9791.0,8975.0
02/05/2025,9551.0,8755.0
03/05/2025,9551.0,8755.0
04/05/2025,9551.0,8755.0
05/05/2025,9573.0,8775.0
06/05/2025,9214.0,8775.0
07/05/2025,9900.0,9075.0
08/05/2025,9960.0,9130.0
09/05/2025,9835.0,9015.0
11/05/2025,9868.0,9045.0
13/05/2025,9660.0,8855.0
14/05/2025,9606.0,8805.0
16/05/2025,9513.0,8720.0
17/05/2025,9513.0,8720.0
18/05/2025,9513.0,8720.0
19/05/2025,9551.0,8755.0
20/05/2025,9502.0,8710.0
22/05/2025,9791.0,8975.0
23/05/2025,9753.0,8940.0
25/05/2025,9808.0,8990.0
26/05/2025,9764.0,8950.0
28/05/2025,9748.0,8935.0
29/05/2025,9704.0,8895.0
30/05/2025,9731.0,8920.0
02/06/2025,9730.0,8919.0
03/06/2025,9884.0,9060.0
04/06/2025,9917.0,9090.0
06/06/2025,9961.0,9131.0
09/06/2025,9769.0,8955.0
10/06/2025,9758.0,8945.0
11/06/2025,9840.0,9020.0
13/06/2025,9929.0,9101.0
16/06/2025,10151.0,9305.0
17/06/2025,10037.0,9200.0
18/06/2025,10167.0,9319.0
19/06/2025,10108.0,9265.0
21/06/2025,10048.0,9210.0
23/06/2025,10075.0,9235.0
24/06/2025,9922.0,9095.0
26/06/2025,9895.0,9070.0
27/06/2025,9802.0,8985.0
28/06/2025,9742.0,8930.0
30/06/2025,9741.0,8929.0
01/07/2025,9840.0,9020.0
03/07/2025,9933.0,9105.0
05/07/2025,9872.0,9049.0
