time_last_update_utc,Currency,Rate
17/03/2025,INR,87.0599
18/03/2025,INR,86.7867
19/03/2025,INR,86.6423
20/03/2025,INR,86.4189
21/03/2025,INR,86.4097
22/03/2025,INR,86.1666
23/03/2025,INR,86.1786
24/03/2025,INR,86.1008
25/03/2025,INR,85.6649
26/03/2025,INR,85.7287
27/03/2025,INR,85.7682
28/03/2025,INR,85.757
29/03/2025,INR,85.6197
31/03/2025,INR,85.6277
01/04/2025,INR,85.4987
02/04/2025,INR,85.651
03/04/2025,INR,85.5654
04/04/2025,INR,85.3739
05/04/2025,INR,85.4813
07/04/2025,INR,85.5703
08/04/2025,INR,85.919
09/04/2025,INR,86.2955
10/04/2025,INR,86.5738
12/04/2025,INR,86.1595
